AZ_onshore_wind_turbine_1,AZ_solar_photovoltaic_1,CA_onshore_wind_turbine_1,CA_solar_photovoltaic_1,CO_onshore_wind_turbine_1,CO_solar_photovoltaic_1,ID_onshore_wind_turbine_1,ID_solar_photovoltaic_1,MT_onshore_wind_turbine_1,MT_solar_photovoltaic_1,NM_onshore_wind_turbine_1,NM_solar_photovoltaic_1,NV_onshore_wind_turbine_1,NV_solar_photovoltaic_1,OR_onshore_wind_turbine_1,OR_solar_photovoltaic_1,UT_onshore_wind_turbine_1,UT_solar_photovoltaic_1,WA_onshore_wind_turbine_1,WA_solar_photovoltaic_1,WY_onshore_wind_turbine_1,WY_solar_photovoltaic_1,AZ_landbasedwind_class3_moderate_1,AZ_utilitypv_class1_moderate_1,CA_landbasedwind_class3_moderate_1,CA_utilitypv_class1_moderate_1,CA_offshorewind_class3_moderate_fixed_1_1,CA_offshorewind_class3_moderate_fixed_0_1,CA_offshorewind_class12_moderate_floating_0_1,CO_landbasedwind_class3_moderate_1,CO_utilitypv_class1_moderate_1,ID_landbasedwind_class3_moderate_1,ID_utilitypv_class1_moderate_1,MT_landbasedwind_class3_moderate_1,MT_utilitypv_class1_moderate_1,NM_landbasedwind_class3_moderate_1,NM_utilitypv_class1_moderate_1,NV_landbasedwind_class3_moderate_1,NV_utilitypv_class1_moderate_1,OR_landbasedwind_class3_moderate_1,OR_utilitypv_class1_moderate_1,OR_offshorewind_class3_moderate_fixed_1_1,OR_offshorewind_class3_moderate_fixed_0_1,OR_offshorewind_class12_moderate_floating_0_1,UT_landbasedwind_class3_moderate_1,UT_utilitypv_class1_moderate_1,WA_landbasedwind_class3_moderate_1,WA_utilitypv_class1_moderate_1,WA_offshorewind_class3_moderate_fixed_1_1,WA_offshorewind_class3_moderate_fixed_0_1,WA_offshorewind_class12_moderate_floating_0_1,WY_landbasedwind_class3_moderate_1,WY_utilitypv_class1_moderate_1,CA_NearField_2_5_254_c235
0.837853117,0.150639182,0.824166372,0.031341216,0.078857483,0.127606768,0.442380385,0.105825,0.304831867,0.015443503,0.712067759,0.125827555,0.943,0.112120596,0.487561255,0.004064582,0.724683153,0.140975414,0.596239725,0.0,0.252500872,0.0845,0.539661944,0.107214719,0.879169822,0.016630558,0.97849381,0.97849381,0.97849381,0.222677574,0.140875161,0.649449348,0.030646125,0.305492878,0.081525072,0.528238416,0.134790629,0.604802608,0.048411358,0.794205129,0.00252252,0.952930272,0.952930272,0.952930272,0.508324742,0.073601924,0.712650359,0.000636883,0.983003676,0.983003676,0.983003676,0.292959422,0.122257993,1.04
0.687360432,0.160814075,0.902776564,0.141996084,0.045677388,0.09501033,0.445005583,0.25885,0.292769337,0.036694915,0.765820471,0.184487927,0.71,0.172435905,0.547097842,0.124259468,0.737566461,0.225546335,0.573184127,0.053000531,0.368409732,0.018,0.488441676,0.264202148,0.869556606,0.176731333,0.976440549,0.976440549,0.976440549,0.199446902,0.223649159,0.629762292,0.208281562,0.283111244,0.242125571,0.529672861,0.266333282,0.543306172,0.224541336,0.791824579,0.10711614,0.956606805,0.956606805,0.956606805,0.49974525,0.225311473,0.70618242,0.121077955,0.983003676,0.983003676,0.983003676,0.264381438,0.193985045,1.04
0.692996367,0.186467467,0.859135917,0.209376078,0.038753344,0.144495696,0.420872616,0.187525,0.241888675,0.040353107,0.863610223,0.197169346,0.915,0.191985466,0.463926097,0.160232222,0.818055384,0.218174686,0.580387416,0.073386412,0.585821742,0.0615,0.470754534,0.329180717,0.878040433,0.318838179,0.973121285,0.973121285,0.973121285,0.180188596,0.232729077,0.578115463,0.376024365,0.241340235,0.320490837,0.608805478,0.30687052,0.515118778,0.345850796,0.791518152,0.253154963,0.95237112,0.95237112,0.95237112,0.496094823,0.312069327,0.653083801,0.305519432,0.983003676,0.983003676,0.983003676,0.219203174,0.228659898,1.04
0.70304703,0.184386194,0.737438023,0.285297916,0.048531341,0.130832024,0.379242579,0.2221,0.193322651,0.046553672,0.933160835,0.209564723,0.943,0.198643234,0.373580246,0.149058738,0.765545337,0.221444288,0.601567438,0.076573779,0.638927187,0.066,0.482379943,0.34750241,0.902825654,0.325999647,0.9798069,0.9798069,0.9798069,0.182391644,0.257509559,0.539178848,0.395871878,0.20044525,0.309823692,0.678790271,0.317691714,0.54780519,0.38248983,0.793304563,0.28917712,0.95132935,0.95132935,0.95132935,0.522255778,0.327364981,0.552656054,0.348235965,0.983003676,0.983003676,0.983003676,0.205688536,0.249334008,1.05
0.722474521,0.165066965,0.753532255,0.33759897,0.039077077,0.095803461,0.437581092,0.303075,0.15183494,0.061497175,0.915897991,0.198623539,0.949,0.207291119,0.361727976,0.199302366,0.6548949,0.202151846,0.545818236,0.079200372,0.798894208,0.0755,0.478042483,0.356131226,0.931000769,0.353610963,0.978049457,0.978049457,0.978049457,0.2008086,0.271593273,0.554422021,0.378037035,0.178073615,0.303417772,0.702669382,0.327012032,0.605594754,0.398477316,0.793412864,0.274994671,0.976178288,0.976178288,0.976178288,0.545774281,0.33872506,0.50608778,0.315526098,0.983003676,0.983003676,0.983003676,0.219259113,0.262444198,1.05
0.762794796,0.16325987,0.6777231,0.344655418,0.119527969,0.052788849,0.46215167,0.34825,0.148529096,0.058050847,0.921207721,0.199878817,0.946,0.227816957,0.419728478,0.202688924,0.716881504,0.180745028,0.58078555,0.065363323,0.825075505,0.079,0.497899771,0.359801263,0.923696995,0.350006998,0.96958065,0.96958065,0.96958065,0.239000306,0.26916334,0.601445377,0.369997293,0.167115629,0.305394024,0.715375781,0.32943514,0.656027794,0.39172554,0.820054412,0.254963547,0.980384171,0.980384171,0.980384171,0.585166454,0.343485177,0.476653844,0.289489865,0.983003676,0.983003676,0.983003676,0.238821879,0.255610287,1.05
0.811332057,0.098422346,0.475584193,0.359839604,0.193449242,0.031373852,0.503565832,0.223275,0.165133735,0.019446328,0.863761689,0.148579218,0.869,0.186141677,0.501967746,0.250561791,0.777927872,0.141664785,0.623533808,0.092765658,0.857056224,0.0145,0.521101475,0.356612533,0.929594994,0.335114837,0.965406299,0.965406299,0.965406299,0.285350502,0.269308418,0.641976416,0.369763255,0.165240556,0.323041081,0.723542571,0.319521636,0.693619847,0.386839211,0.836070955,0.230618134,0.982781172,0.982781172,0.982781172,0.597898304,0.357861072,0.51533705,0.267173439,0.980216384,0.980216384,0.980216384,0.263362288,0.248761564,1.06
0.831008247,0.192185704,0.577241929,0.413463786,0.219953158,0.154483224,0.51766828,0.192125,0.165695241,0.23970904,0.810162709,0.220576732,0.909,0.249266879,0.671139491,0.325894963,0.733902885,0.193583959,0.692715129,0.184388004,0.866298485,0.01,0.549950778,0.354739815,0.927359343,0.301909596,0.96835351,0.96835351,0.96835351,0.329360604,0.250833869,0.673507214,0.351900488,0.176534727,0.310965002,0.708009601,0.300410002,0.716751635,0.370649844,0.850461304,0.185851753,0.982990742,0.982990742,0.982990742,0.585007191,0.358666897,0.554454327,0.225758761,0.983003676,0.983003676,0.983003676,0.303679168,0.219123244,1.06
0.794460383,0.048658365,0.525956851,0.342639628,0.239592815,0.001371711,0.653585373,0.055225,0.175309157,0.000110169,0.709482505,0.010140229,0.883,0.119896963,0.663388807,0.248810617,0.554089645,0.061962986,0.742879326,0.319498408,0.810654518,0.0,0.567818165,0.24946925,0.892845273,0.225030825,0.976226985,0.976226985,0.976226985,0.348987877,0.106836736,0.712319672,0.214565754,0.205550283,0.141899019,0.642936051,0.178729519,0.687240899,0.248820469,0.859952807,0.135675371,0.982772589,0.982772589,0.982772589,0.545084059,0.223350555,0.655812621,0.129211605,0.982139528,0.982139528,0.982139528,0.34584704,0.102399945,1.06
0.491225528,0.0,0.604309857,0.064372819,0.182149073,0.0,0.753378059,0.0,0.212966988,0.0,0.488307682,0.0,0.933,0.003940598,0.593020171,0.04698399,0.666729778,0.0,0.71001432,0.041958599,0.865179415,0.0,0.573804796,0.033167366,0.891231418,0.057089798,0.972385526,0.972385526,0.972385526,0.349744558,0.003922678,0.749305844,0.030688545,0.235359937,0.003641913,0.537937582,0.015561009,0.638658285,0.035831939,0.863511264,0.03848087,0.982263565,0.982263565,0.982263565,0.536645651,0.024801448,0.754219592,0.023731247,0.983003676,0.983003676,0.983003676,0.36734432,0.001879894,1.07
