AZ_conventional_hydroelectric_1,CA_conventional_hydroelectric_1,CO_conventional_hydroelectric_1,ID_conventional_hydroelectric_1,MT_conventional_hydroelectric_1,NV_conventional_hydroelectric_1,OR_conventional_hydroelectric_1,UT_conventional_hydroelectric_1,WA_conventional_hydroelectric_1,WY_conventional_hydroelectric_1
0.266388118,0.186020404,0.347773969,0.315692335,0.324788213,0.225994661,0.446243316,0.254653603,0.34265399,0.134713724
0.266217411,0.186138526,0.347953558,0.315655649,0.324768335,0.22583802,0.446235806,0.254568815,0.34262374,0.134713173
0.266046703,0.186256632,0.348133087,0.315618992,0.324748427,0.225681365,0.446228325,0.254484087,0.342593521,0.134712622
0.265875965,0.186374739,0.348312676,0.315582275,0.324728519,0.225524709,0.446220815,0.254399359,0.342563272,0.134712055
0.265705258,0.186492845,0.348492205,0.315545619,0.324708611,0.225368053,0.446213335,0.254314572,0.342533052,0.134711504
0.26553455,0.186610967,0.348671794,0.315508902,0.324688703,0.225211397,0.446205825,0.254229844,0.342502803,0.134710953
0.265363842,0.186729074,0.348851353,0.315472245,0.324668825,0.225054756,0.446198285,0.254145086,0.342472553,0.134710401
0.265193135,0.18684718,0.349030942,0.315435559,0.324648887,0.2248981,0.446190804,0.254060328,0.342442334,0.13470985
0.265022427,0.186965302,0.349210501,0.315398872,0.324629009,0.224741459,0.446183324,0.2539756,0.342412084,0.134709284
0.264851689,0.187083408,0.34939009,0.315362185,0.324609071,0.224584803,0.446175784,0.253890872,0.342381865,0.134708732
0.275328279,0.380273759,0.349810481,0.49508661,0.38952297,0.280195147,0.412378043,0.310781747,0.464803159,0.53044492
0.275101662,0.38007769,0.349760652,0.494551361,0.389038384,0.280046284,0.412348628,0.310468584,0.464204729,0.529696822
0.274875045,0.379881591,0.349710822,0.494016171,0.388553798,0.279897392,0.412319183,0.310155451,0.463606328,0.528948784
0.274648428,0.379685491,0.349660993,0.49348098,0.388069212,0.279748559,0.412289768,0.309842288,0.463007927,0.528200746
0.274421781,0.379489392,0.349611163,0.49294576,0.387584627,0.279599696,0.412260294,0.309529185,0.462409526,0.527452648
0.274195164,0.379293263,0.349561304,0.4924106,0.387099981,0.279450804,0.412230909,0.309216022,0.461811095,0.52670455
0.273968548,0.379097193,0.349511474,0.49187538,0.386615396,0.279301912,0.412201434,0.30890286,0.461212754,0.525956511
0.273741931,0.378901094,0.349461645,0.49134016,0.38613078,0.279153079,0.41217199,0.308589727,0.460614324,0.525208414
0.273515314,0.378704995,0.349411815,0.49080497,0.385646164,0.279004216,0.412142605,0.308276594,0.460015923,0.524460375
0.273288697,0.378508896,0.349361986,0.49026978,0.385161579,0.278855324,0.41211313,0.307963431,0.459417522,0.523712277
0.27306205,0.378312796,0.349312156,0.48973456,0.384676993,0.278706461,0.412083715,0.307650298,0.458819091,0.522964239
0.272835433,0.378116697,0.349262327,0.48919937,0.384192348,0.278557599,0.412054241,0.307337135,0.45822069,0.522216201
0.272608817,0.377920598,0.349212468,0.48866415,0.383707762,0.278408766,0.412024856,0.307024002,0.45762229,0.521468103
0.2723822,0.377724499,0.349162668,0.48812896,0.383223176,0.278259844,0.411995411,0.306710869,0.457023859,0.520720005
0.272155583,0.377528399,0.349112839,0.48759377,0.38273859,0.278110981,0.411965966,0.306397736,0.456425458,0.519971967
0.271928906,0.3773323,0.349062979,0.48705855,0.382254004,0.277962118,0.411936551,0.306084573,0.455827057,0.519223928
0.271702319,0.377136201,0.34901315,0.48652336,0.381769359,0.277813286,0.411907107,0.30577141,0.455228627,0.518475831
0.271475703,0.376940101,0.34896332,0.48598814,0.381284773,0.277664393,0.411877662,0.305458277,0.454630226,0.517727792
0.271249056,0.376744002,0.348913491,0.48545298,0.380800188,0.277515531,0.411848247,0.305145144,0.454031885,0.516979694
0.271022439,0.376547903,0.348863661,0.48491773,0.380315542,0.277366638,0.411818802,0.304831982,0.453433454,0.516231656
0.270795822,0.376351804,0.348813832,0.48438251,0.379830986,0.277217805,0.411789358,0.304518849,0.452835053,0.515483618
